                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2736,                    0.1,                 0.4875,                 2.2964,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 2.3209,                 0.1375,                 0.6125,                 2.2907,             6.3624e-05,             6.3624e-05,             6.3624e-05
                      3,                 2.3249,                  0.175,                  0.675,                 2.2833,             9.7981e-05,             9.7981e-05,             9.7981e-05
                      4,                 2.3108,                 0.1875,                    0.7,                 2.2768,             0.00013163,             0.00013163,             0.00013163
                      5,                 2.1405,                   0.25,                  0.775,                 2.2535,             0.00016457,             0.00016457,             0.00016457
                      6,                 2.1881,                 0.2875,                 0.7375,                 2.2536,             0.00019681,             0.00019681,             0.00019681
                      7,                 2.0329,                 0.3625,                  0.825,                 2.2397,             0.00022834,             0.00022834,             0.00022834
                      8,                 2.0594,                   0.45,                 0.8375,                  2.224,             0.00025916,             0.00025916,             0.00025916
                      9,                 2.0551,                 0.4375,                  0.875,                 2.2154,             0.00028928,             0.00028928,             0.00028928
                     10,                 1.9362,                 0.4625,                  0.875,                 2.2016,             0.00031869,             0.00031869,             0.00031869
                     11,                 1.8132,                 0.5125,                  0.925,                 2.1794,             0.00034739,             0.00034739,             0.00034739
                     12,                 1.8782,                   0.55,                   0.95,                 2.1387,             0.00037538,             0.00037538,             0.00037538
                     13,                 1.6628,                 0.5625,                   0.95,                 2.1276,             0.00040267,             0.00040267,             0.00040267
                     14,                 1.6456,                 0.5875,                  0.975,                 2.0777,             0.00042925,             0.00042925,             0.00042925
                     15,                 1.4839,                 0.6375,                  0.975,                 2.0457,             0.00045513,             0.00045513,             0.00045513
                     16,                 1.4949,                 0.6375,                  0.975,                 2.0465,              0.0004803,              0.0004803,              0.0004803
                     17,                 1.4136,                  0.675,                  0.975,                 1.9887,             0.00050476,             0.00050476,             0.00050476
                     18,                 1.4606,                    0.7,                  0.975,                 1.9703,             0.00052851,             0.00052851,             0.00052851
                     19,                 1.3407,                    0.7,                 0.9625,                 1.9634,             0.00055156,             0.00055156,             0.00055156
                     20,                 1.3643,                 0.6875,                 0.9625,                 1.9308,              0.0005739,              0.0005739,              0.0005739
                     21,                 1.1332,                  0.725,                  0.975,                 1.8954,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.0857,                 0.7375,                 0.9875,                 1.8753,             0.00056556,             0.00056556,             0.00056556
